Date,Ibov,Selic
1993-05-31,34.9,2434.18
1993-06-30,53.7,2683.74
1993-07-31,65.6,2462.06
1993-08-31,96.4,2923.49
1993-09-30,146.6,4399.17
1993-10-31,184.4,5902.32
1993-11-30,274.0,5892.18
1993-12-31,375.5,4052.94
1994-01-31,740.6,7123.98
1994-02-28,1050.0,13494.79
1994-03-31,1520.0,8108.65
1994-04-30,1710.0,15885.2
1994-05-31,2470.0,8796.14
1994-06-30,3620.0,13747.27
1994-07-31,4200.0,133.8
1994-08-31,5330.0,56.47
1994-09-30,5480.0,57.06
1994-10-31,4800.0,60.31
1994-11-30,4660.0,65.36
1994-12-31,4350.0,53.29
1995-01-31,3890.0,46.25
1995-02-28,3270.0,56.54
1995-03-31,2980.0,58.38
1995-04-30,3810.0,85.47
1995-05-31,3720.0,61.05
1995-06-30,3600.0,60.84
1995-07-31,3880.0,60.53
1995-08-31,4310.0,51.11
1995-09-30,4670.0,51.0
1995-10-31,4130.0,44.11
1995-11-30,4380.0,42.94
1995-12-31,4300.0,41.22
1996-01-31,5150.0,33.83
1996-02-29,4960.0,36.11
1996-03-31,4950.0,30.16
1996-04-30,5160.0,29.43
1996-05-31,5730.0,25.64
1996-06-30,6040.0,29.67
1996-07-31,6120.0,23.28
1996-08-31,6260.0,25.01
1996-09-30,6450.0,25.4
1996-10-31,6530.0,23.48
1996-11-30,6670.0,25.27
1996-12-31,7040.0,23.94
1997-01-31,7960.0,21.74
1997-02-28,8830.0,26.14
1997-03-31,9040.0,24.11
1997-04-30,9980.0,21.84
1997-05-31,11300.0,21.91
1997-06-30,12600.0,21.08
1997-07-31,12900.0,19.04
1997-08-31,10600.0,20.78
1997-09-30,11800.0,19.81
1997-10-31,8990.0,20.01
1997-11-30,9400.0,45.9
1997-12-31,10200.0,39.87
1998-01-31,9720.0,37.19
1998-02-28,10600.0,34.32
1998-03-31,11900.0,28.33
1998-04-30,11700.0,25.18
1998-05-31,9850.0,22.6
1998-06-30,9680.0,21.02
1998-07-31,10700.0,20.33
1998-08-31,6470.0,19.23
1998-09-30,6590.0,34.56
1998-10-31,7050.0,41.6
1998-11-30,8630.0,38.77
1998-12-31,6780.0,31.25
1999-01-31,8170.0,31.21
1999-02-28,8910.0,38.97
1999-03-31,10700.0,43.26
1999-04-30,11400.0,36.16
1999-05-31,11100.0,27.15
1999-06-30,11600.0,22.02
1999-07-31,10400.0,20.74
1999-08-31,10600.0,19.51
1999-09-30,11100.0,19.38
1999-10-31,11700.0,18.91
1999-11-30,13800.0,18.95
1999-12-31,17100.0,18.99
2000-01-31,16400.0,18.94
2000-02-29,17700.0,18.87
2000-03-31,17800.0,18.85
2000-04-30,15500.0,18.62
2000-05-31,15000.0,18.51
2000-06-30,16700.0,18.04
2000-07-31,16500.0,16.85
2000-08-31,17300.0,16.52
2000-09-30,15900.0,16.56
2000-10-31,14900.0,16.6
2000-11-30,13300.0,16.51
2000-12-31,15300.0,16.19
2001-01-31,17700.0,15.49
2001-02-28,15900.0,15.2
2001-03-31,14400.0,15.39
2001-04-30,14900.0,16.02
2001-05-31,14700.0,16.43
2001-06-30,14600.0,17.29
2001-07-31,13800.0,18.57
2001-08-31,12800.0,19.0
2001-09-30,10600.0,19.06
2001-10-31,11400.0,19.06
2001-11-30,12900.0,19.05
